command,mean,stddev,median,user,system,min,max
./main < ./70.txt,0.0046774976105263145,0.0023861386537894244,0.006017452800000001,0.0030799510526315793,0.001994714473684209,0,0.0069213093
./main < ./760000.txt,0.21634501985000007,0.0013860347199815208,0.2160541278,0.20799967999999994,0.008325344800000002,0.2139297763,0.2210341493
./main < ./760.txt,0.005577147816968013,0.0021504072954139333,0.006480909300000001,0.0035941415855354707,0.002312314019471489,0,0.007470685300000001
./main < ./560.txt,0.0056015883728873245,0.001975383309834726,0.006364979300000001,0.003424677746478871,0.0024932117605633787,0,0.0067330943
./main < ./570000.txt,0.16242383544000003,0.0014781495704498128,0.1622107188,0.15596742999999993,0.006475173599999999,0.1599365573,0.1663220383
./main < ./93000.txt,0.019439816228571435,0.00014953009816687362,0.0194081213,0.018365798095238087,0.0014898560317460308,0.0191933203,0.0200756333
./main < ./4800.txt,0.0069099302755215595,0.003584835417518872,0.0092256033,0.005062084728789983,0.0022089437273991675,0,0.0103725733
./main < ./2000.txt,0.006514520900384614,0.0021205769210097627,0.0072783618,0.004819501692307696,0.0019946728461538465,0,0.0078234553
./main < ./8900.txt,0.008385632333519553,0.00460405447155986,0.0113884153,0.00695912960893855,0.0017957562011173187,0.0007530983000000003,0.0125770423
./main < ./78.txt,0.005372646087197234,0.001781604232799024,0.006033106300000001,0.0033440495501730113,0.0022758569550172998,0,0.0065298763
